PolityID,PolityName,PolityType,StateAbbr
2557,Ruhr,Territory,
2601,West Berlin,Territory,
2661,Saxe Hildbourghausen,Territory,
3051,Klagenfurt Plebiscite Zone,Territory,
3052,Vorarlberg,Territory,
3053,Tirol,Territory,
3253,Milan,Territory,
3261,Republic of St. Mark,Territory,
3271,Ancona,Territory,
3291,Sicily,Territory,
3316,Carpatho-Ukraine,Territory,
3326,Venezia-Giulia,Territory,
3327,"S.M.O.M. (Sovereign & Military Order of Jerusalem, Rhodes and Malta)",Territory,
3340,Scutari,Territory,
3341,Saseno,Territory,
3343,Fiume,Territory,
3346,Zadar (Zara),Territory,
3349,Ionian Is.,Territory,
3351,Corfu (British Bases in Cyprus),Territory,
3352,Turkish  Republic of Northern Cyprus,Territory,
3353,Dodecanese Is. (Aegean Is.),Territory,
3354,Janina,Territory,
3356,Castellorizo,Territory,
3361,Moldavia,Territory,
3362,Wallachia,Territory,
3363,Memel,Territory,
3364,North Ingermanland,Territory,
3374,Batum,Territory,
3375,Daghestan,Territory,
3376,Nakhichevan,Territory,
3377,Mountaineers' Republic of the North Caucusus (Hango),Territory,
3378,Porkkala,Territory,
3379,Aland Is.,Territory,
3381,Elba,Territory,
3386,Svalbard  Is.,Territory,
3387,Jan Mayan Is.,Territory,
3451,Serb Republic of Krajina,Territory,
3452,Serb Republic of Bosnia,Territory,
3461,Bosnia,Territory,
3462,Herzegovina,Territory,
3471,Novi Bazar,Territory,
3481,Brda,Territory,
3501,Western Thrace,Territory,
3502,Mount Athos,Territory,
3503,New Greece,Territory,
3504,Samos,Territory,
3505,Lemnos,Territory,
3521,UN Buffer Zone in Cyprus,Territory,
3551,Eastern Rumelia,Territory,
3591,Transdniestria,Territory,
3601,Danube Islands Neutral Zone,Territory,
3661,USSR Bases in Estonia,Territory,
3671,USSR Bases in Latvia,Territory,
3681,USSR Bases in Lithuania,Territory,
3691,Western Ukraine,Territory,
3692,Northeren Russia,Territory,
3693,Republic of the Don,Territory,
3694,Odessa,Territory,
3712,Republic of Karabakh,Territory,
3721,Abkhazia,Territory,
3722,South Ossetia,Territory,
3805,Sweden-Norway Neutral Zone,Territory,
3901,Bornholm I.,Territory,
4041,Cacheu,Territory,
4042,Bissau,Territory,
4043,Oio,Territory,
4050,St. Helena,Territory,
4051,Longwood,Territory,
4060,Tristan da Cunha,Territory,
4070,Ascension I.,Territory,
4111,Annobon I.,Territory,
4112,Corisco I.,Territory,
4201,Gambia Protectorate,Territory,
4321,Tokolor Empire,Territory,
4322,Timbuctu,Territory,
4323,Bambuk,Territory,
4324,Dinguiray,Territory,
4325,Kaarta,Territory,
4326,Macina,Territory,
4327,Segu,Territory,
4328,Sikasso,Territory,
4331,Futa Toro,Territory,
4332,Futa Bondu,Territory,
4333,Cayor,Territory,
4334,Rip,Territory,
4335,Saloum,Territory,
4336,Sine,Territory,
4337,Walo,Territory,
4338,Goree,Territory,
4341,Old Dahomey,Territory,
4342,Gun,Territory,
4343,Ketu,Territory,
4344,Grand Popo,Territory,
4345,Ouidah,Territory,
4346,Anecho,Territory,
4347,Cotonou,Territory,
4348,Porto Novo,Territory,
4349,Ajuda,Territory,
4351,Adrar,Territory,
4352,Brakna,Territory,
4353,Tagant,Territory,
4354,Trarza,Territory,
4361,Air,Territory,
4362,Zinder,Territory,
4371,Odienne,Territory,
4372,Grand Bassam,Territory,
4373,Assini,Territory,
4381,Futa Djallon,Territory,
4382,Kankan,Territory,
4391,Gurma,Territory,
4392,Kong,Territory,
4393,Mandinka Empire,Territory,
4394,Mamprussi,Territory,
4395,Ouga Dougou,Territory,
4396,Yatenga,Territory,
4397,Busuma,Territory,
4398,Riziam,Territory,
4501,Maryland,Territory,
4511,Sierra Leone Protectorate,Territory,
4512,Aku,Territory,
4513,Banana Island,Territory,
4514,Bumpe,Territory,
4515,Koya-Temne,Territory,
4516,Shenge (Plantation Island),Territory,
4521,Asante,Territory,
4522,Adansi,Territory,
4523,Akwamu,Territory,
4524,Akwapim,Territory,
4525,Akyem,Territory,
4526,Dagomba,Territory,
4527,Denkyira,Territory,
4528,Fante,Territory,
4529,Ga,Territory,
4531,Gonja,Territory,
4532,Gyamen,Territory,
4533,Wassa,Territory,
4534,Danish Posts (Gold Gold Coast),Territory,
4535,Dutch Posts (Gold Coast),Territory,
4536,Northern Territories,Territory,
4559,Gold Coast-Togoland (Neutral Zone),Territory,
4711,Bamum (Bamoun),Territory,
4735,Kontagora,Territory,
4736,Keana,Territory,
4737,Fika,Territory,
4738,Doma (Gara),Territory,
4741,Abuja,Territory,
4742,Igala,Territory,
4744,Kwararafa,Territory,
4746,Yauri,Territory,
4751,Sokoto,Territory,
4752,Adamawa,Territory,
4753,Bauchi,Territory,
4754,Gwandu,Territory,
4755,Hadejia,Territory,
4756,Ilorin,Territory,
4757,Kano,Territory,
4758,Katsina,Territory,
4759,Katagum,Territory,
4761,Nupe,Territory,
4762,Zaria,Territory,
4764,Kanem,Territory,
4765,Mandara,Territory,
4766,Rabeh,Territory,
4768,Egba,Territory,
4769,Ibadan,Territory,
4771,Ife,Territory,
4772,Ijaye,Territory,
4773,Ijebu,Territory,
4774,Ilesha,Territory,
4775,New Oyo,Territory,
4776,Benin,Territory,
4781,Lagos,Territory,
4782,Oil Rivers Protectorate,Territory,
4783,Southern Nigeria,Territory,
4784,Northern Nigeria,Territory,
4790,Biafra,Territory,
4791,Bonny,Territory,
4792,0ld Calabar (Efik),Territory,
4793,New Calabar (Kalabari),Territory,
4794,Opobo,Territory,
4795,Nembe (Brass),Territory,
4796,Okrika,Territory,
4821,Bangassou,Territory,
4822,Rafai,Territory,
4823,Zemio,Territory,
4831,Bagirmi,Territory,
4832,Wadai,Territory,
4841,Bateke (Anzico),Territory,
4842,Loango,Territory,
4901,Tibbu Tip Empire,Territory,
4903,Kalagne,Territory,
4904,Baluba,Territory,
4905,Katanga,Territory,
4906,Kasai,Territory,
4907,Msiri,Territory,
4908,Azande,Territory,
4909,Mangbetu,Territory,
4910,Kuba,Territory,
5001,Buganda,Territory,
5002,Ankole,Territory,
5003,Bunyoro,Territory,
5004,Busoga,Territory,
5005,Butoro,Territory,
5006,Rwenzururu,Territory,
5011,Kenya Protectorate,Territory,
5012,Mombassa,Territory,
5013,Pate,Territory,
5017,Vumbu Kuu,Territory,
5018,Wanga,Territory,
5101,Ha,Territory,
5102,Haya,Territory,
5103,Hehe,Territory,
5104,Karaqwe,Territory,
5105,Urambo,Territory,
5106,Gwangara,Territory,
5107,North Gwangara,Territory,
5108,South Gwangara,Territory,
5200,Italian Somaliland,Territory,
5201,Italian East Africa,Territory,
5202,Oltre Giuba,Territory,
5203,Alula (Mijerteyn),Territory,
5204,Obbia,Territory,
5205,Somali Coast Leased Territory,Territory,
5207,Mogadishu,Territory,
5208,Merka,Territory,
5209,Brava,Territory,
5211,Warsheikh,Territory,
5221,Tadjoura,Territory,
5222,Obock,Territory,
5301,Amhara,Territory,
5302,Gondar,Territory,
5303,Shoa,Territory,
5304,Tigre,Territory,
5305,Gojjam,Territory,
5306,Harar,Territory,
5307,Jijega Reserve Areas and Haud,Territory,
5309,Kaffa,Territory,
5321,Enarya (Limmu),Territory,
5322,Jimma-Kakka(Jimma Abba Jifar),Territory,
5323,Gera,Territory,
